ID,ID_nm,CODE,SD_nm_rev,ADD,SGG_cd_rev,SGG_nm_rev,HEMD_cd,HEMD_cd2,HEMD_nm,BEMD_cd,BEMD_nm,WGS_X_rev,WGS_Y_rev,yr_2001,yr_2002,yr_2003,yr_2004,yr_2005,yr_2006,yr_2007,yr_2008,yr_2009,yr_2010,yr_2011,yr_2012,yr_2013,yr_2014,yr_2015,yr_2016,yr_2017,yr_2018,yr_2019,yr_2020
111121,,A,서울,서울 중구 덕수궁길 15 ,11020,중구,1114052000,1102052,소공동,1114016600,서소문동,126.9745006,37.5642278,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111121,이전,A,서울,서울 중구 정동길 22,11020,중구,1114052000,1102052,소공동,1114016700,정동,126.9696248,37.566492,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111122,,B,서울,서울 용산구 한강대로 405,11030,용산구,1117053000,1103053,남영동,1117010700,동자동,126.9717319,37.554842,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111123,,A,서울,서울 종로구 종로35가길 19 ,11010,종로구,1111063000,1101063,종로5.6가동,1111016200,효제동,127.005049,37.5720489,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111123,이전,A,서울,서울 종로구 이화동 149-1 ,11010,종로구,1111064000,1101064,이화동,1111016500,이화동,127.0043494,37.5769807,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111124,,B,서울,서울 중구 청계천로 184,11020,중구,1114060500,1102060,을지로동,1114015200,주교동,126.9981892,37.568639,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111125,,B,서울,서울 종로구 종로 169,11010,종로구,1111061500,1101061,종로1.2.3.4가동,1111016100,종로4가,126.9965511,37.5709228,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
111131,,A,서울,서울 용산구 한남대로 136 ,11030,용산구,1117068500,1103074,한남동,1117013100,한남동,127.0048634,37.5400424,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111141,,A,서울,서울 광진구 광나루로 571 ,11050,광진구,1121586000,1105061,구의2동,1121510300,구의동,127.093546,37.5454509,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111142,,A,서울,서울 성동구 뚝섬로3길 18 ,11040,성동구,1120065000,1104065,성수1가1동,1120011400,성수동1가,127.0496929,37.5420426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
111142,이전,A,서울,서울 성동구 뚝섬로 273 ,11040,성동구,1120065000,1104065,성수1가1동,1120011400,성수동1가,127.0418038,37.5430781,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
111143,,B,서울,서울 성동구 강변북로 257,11040,성동구,1120065000,1104065,성수1가1동,1120011400,성수동1가,127.040222,37.5437681,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
111151,,A,서울,서울 중랑구 용마산로 369 ,11070,중랑구,1126056500,1107071,면목본동,1126010100,면목동,127.0940414,37.5849115,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111152,,A,서울,서울 동대문구 천호대로 13길 43 ,11060,동대문구,1123053600,1106081,용신동,1123010200,용두동,127.0288403,37.5758512,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111152,이전,A,서울,서울 동대문구 신설동 109-5 ,11060,동대문구,1123053600,1106081,용신동,1123010100,신설동,127.02554,37.5728326,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111153,폐쇄,B,서울,서울 중구 광희동2가 9,11020,중구,1114059000,1102059,광희동,1114014900,을지로7가,127.0079,37.56546,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
111154,,B,서울,서울동대문구 홍릉로 1,11060,동대문구,1123070500,1106080,청량리동,1123010700,청량리동,127.0449,37.5804,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111161,,A,서울,서울 성북구 삼양로 2길 70 ,11080,성북구,1129068500,1108068,길음2동,1129013400,길음동,127.0272839,37.6067169,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111162,,B,서울,서울 성북구 돈암동 8-164 ,11080,성북구,1129058000,1108058,돈암1동,1129010300,돈암동,127.0259668,37.6034984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
111162,이전,B,서울,서울 성북구 정릉로 180,11080,성북구,1129063000,1108063,정릉2동,1129013300,정릉동,127.0059,37.6067,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
111171,,A,서울,서울 도봉구 시루봉로 2길 34 ,11100,도봉구,1132068100,1110054,쌍문4동,1132010500,쌍문동,127.0291014,37.6541981,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111181,,A,서울,서울 은평구 진흥로 215 ,11120,은평구,1138052000,1112052,불광1동,1138010300,불광동,126.933142,37.6101292,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111191,,A,서울,서울 서대문구 세검정로4길 32,11130,서대문구,1141064000,1113064,홍제3동,1141011100,홍제동,126.9497269,37.5937711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
111191,이전,A,서울,서울 서대문구 연희로 32길 51 ,11130,서대문구,1141061500,1113076,연희동,1141011700,연희동,126.9378418,37.5767074,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
